JYear,Year,SEAKCatch,ISTI3_May,ISTI10_May,ISTI15_May,ISTI20_May,ISTI3_MJJ,ISTI10_MJJ,ISTI15_MJJ,ISTI20_MJJ,Chatham_SST_MJJ,Chatham_SST_May,Chatham_SST_AMJJ,Chatham_SST_AMJ,Icy_Strait_SST_MJJ,Icy_Strait_SST_May,Icy_Strait_SST_AMJJ,Icy_Strait_SST_AMJ,NSEAK_SST_MJJ,NSEAK_SST_May,NSEAK_SST_AMJJ,NSEAK_SST_AMJ,SEAK_SST_MJJ,SEAK_SST_May,SEAK_SST_AMJJ,SEAK_SST_AMJ,CPUEcal,index,weight_values
2008,2009,38,6.97,6.7,6.42,6.22,9.35,8.76,8.28,7.92,8.65,6.77,7.69,6.83,8.85,6.43,7.72,6.68,8.65,6.64,7.63,6.74,9.18,7.22,8.17,7.28,2.323473052,pink_cal_pool,0.001
2009,2010,24,9.24,8.65,8.26,7.92,11.25,10.57,9.91,9.38,9.75,7.3,8.46,7.35,9.94,7.19,8.47,7.22,9.77,7.32,8.4,7.24,10.2,7.76,8.85,7.73,2.333003071,pink_cal_pool,0.001
2010,2011,58.9,10.14,9.44,8.89,8.49,10.98,10.39,9.83,9.4,9.65,7.97,8.66,7.93,9.87,7.71,8.68,7.81,9.62,7.76,8.54,7.72,10.09,8.28,9.05,8.23,4.10831806,pink_cal_pool,0.001
2011,2012,21.3,7.07,6.89,6.68,6.51,10.16,9.65,9.12,8.67,9.59,7.31,8.49,7.55,9.84,6.81,8.47,7.18,9.67,7.25,8.44,7.44,10.05,7.74,8.88,7.92,1.454838125,pink_cal_pool,0.001
2012,2013,94.7,7.08,6.91,6.77,6.63,10.51,9.69,8.98,8.51,9.17,7.07,8.18,7.22,9.23,6.92,8.1,7.07,9.14,6.95,8.09,7.1,9.68,7.47,8.63,7.61,3.521505182,pink_cal_pool,0.001
2013,2014,37.2,7.17,6.9,6.72,6.55,10.79,10,9.36,8.87,9.66,6.74,8.44,7.21,9.88,6.37,8.45,6.97,9.67,6.59,8.36,7.04,10.39,7.51,9.1,7.85,2.142767709,pink_cal_pool,0.001
2014,2015,35.1,9.24,8.57,8.03,7.66,10.9,10.17,9.55,9.09,9.98,8.17,8.76,7.77,10.23,7.9,8.81,7.62,10.03,8.15,8.7,7.64,10.57,8.62,9.26,8.17,3.817373297,pink_cal_pool,0.001
2015,2016,18.4,8.18,7.93,7.78,7.63,11.14,10.54,10.05,9.65,10.62,8.87,9.55,8.73,10.73,8.34,9.43,8.29,10.81,8.92,9.56,8.65,11.43,9.64,10.21,9.32,2.452646547,pink_cal_pool,1
2016,2017,34.7,9.45,9.14,8.89,8.68,11.52,11.08,10.67,10.3,11.04,8.92,10.03,9.07,11.65,8.81,10.37,9.14,11.18,8.92,10.05,9,11.67,9.61,10.59,9.59,4.351092515,pink_cal_pool,1
2017,2018,8.1,8.45,8.05,7.84,7.69,9.79,9.25,8.86,8.56,9.65,7.65,8.7,7.76,9.82,7.22,8.66,7.51,9.82,7.75,8.77,7.78,10.31,8.25,9.28,8.29,0.34583664,pink_cal_pool,1
2018,2019,21.1,8.48,8.25,8.07,7.91,10.3,9.76,9.3,8.92,9.87,7.4,8.75,7.61,9.99,6.92,8.74,7.43,10.11,7.53,8.86,7.63,10.79,8.28,9.54,8.3,1.17155842,pink_cal_pool,1
2019,2020,8.067943,8.79,8.5,8.18,7.92,11.64,10.93,10.35,9.91,10.47,8.24,9.46,8.35,10.74,7.79,9.51,8.1,10.87,8.42,9.65,8.44,11.46,9.01,10.25,9.05,1.141970892,pink_cal_pool,1
2020,2021,,8.39,8.07,7.76,7.47,10.15,9.68,9.25,8.89,9.99,8.09,8.84,7.86,10.4,7.83,9.05,7.86,10.23,8.26,8.98,7.94,10.7,8.9,9.52,8.53,2.147502256,pink_cal_pool,1
