"Model","Term","Estimate","Standard Error","Statistic","p value"
"m3","adj_raw_pink_log:as.factor(odd_even_factor)odd",-0.16890592,0.128,-1.315,0.207
"m4","(Intercept)",3.74203931,1.721,2.175,0.045
"m4","as.factor(vessel)Medeia",3.0666549,1.591,1.928,0.072
"m4","as.factor(vessel)NW Explorer",-0.21638673,1.006,-0.215,0.832
"m4","adj_raw_pink_log",0.49672174,0.184,2.702,0.016
"m4","as.factor(odd_even_factor)odd",1.55328781,0.772,2.013,0.061
"m4","Chatham_SST_MJJ",-0.31186019,0.163,-1.917,0.073
"m4","as.factor(vessel)Medeia:adj_raw_pink_log",-0.70143924,0.334,-2.098,0.052
"m4","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.05935426,0.166,-0.357,0.725
"m4","adj_raw_pink_log:as.factor(odd_even_factor)odd",-0.20590838,0.132,-1.562,0.138
"m5","(Intercept)",3.51297866,1.425,2.466,0.025
"m5","as.factor(vessel)Medeia",2.76590446,1.535,1.802,0.09
"m5","as.factor(vessel)NW Explorer",-0.16277881,0.966,-0.168,0.868
"m5","adj_raw_pink_log",0.48825942,0.175,2.784,0.013
"m5","as.factor(odd_even_factor)odd",1.41812134,0.74,1.916,0.073
"m5","Chatham_SST_AMJ",-0.3661439,0.158,-2.312,0.034
"m5","as.factor(vessel)Medeia:adj_raw_pink_log",-0.63515663,0.324,-1.96,0.068
"m5","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.05828831,0.159,-0.366,0.719
"m5","adj_raw_pink_log:as.factor(odd_even_factor)odd",-0.18300135,0.126,-1.45,0.166
"m6","(Intercept)",3.77414088,1.617,2.334,0.033
"m6","as.factor(vessel)Medeia",2.92837691,1.563,1.873,0.079
"m6","as.factor(vessel)NW Explorer",-0.1439896,0.99,-0.145,0.886
"m6","adj_raw_pink_log",0.50053233,0.18,2.776,0.013
"m6","as.factor(odd_even_factor)odd",1.45550539,0.756,1.925,0.072
"m6","Chatham_SST_AMJJ",-0.35697401,0.169,-2.108,0.051
"m6","as.factor(vessel)Medeia:adj_raw_pink_log",-0.66669189,0.33,-2.023,0.06
"m6","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.07062592,0.163,-0.432,0.671
"m6","adj_raw_pink_log:as.factor(odd_even_factor)odd",-0.19072343,0.129,-1.479,0.159
"m7","(Intercept)",2.7585882,1.276,2.163,0.046
"m7","as.factor(vessel)Medeia",2.8975592,1.573,1.843,0.084
"m7","as.factor(vessel)NW Explorer",-0.31206677,0.987,-0.316,0.756
"m7","adj_raw_pink_log",0.45364451,0.179,2.535,0.022
"m7","as.factor(odd_even_factor)odd",1.35460075,0.762,1.778,0.094
"m7","Icy_Strait_SST_May",-0.26409606,0.128,-2.058,0.056
"m7","as.factor(vessel)Medeia:adj_raw_pink_log",-0.67140811,0.331,-2.028,0.06
"m7","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.03323543,0.163,-0.204,0.841
"m7","adj_raw_pink_log:as.factor(odd_even_factor)odd",-0.16113544,0.13,-1.238,0.234
"m8","(Intercept)",3.55018089,1.6,2.219,0.041
"m8","as.factor(vessel)Medeia",2.80916837,1.589,1.768,0.096
"m8","as.factor(vessel)NW Explorer",-0.25013443,0.997,-0.251,0.805
"m8","adj_raw_pink_log",0.49775912,0.183,2.726,0.015
"m8","as.factor(odd_even_factor)odd",1.64743421,0.77,2.139,0.048
"m8","Icy_Strait_SST_MJJ",-0.28602719,0.144,-1.983,0.065
"m8","as.factor(vessel)Medeia:adj_raw_pink_log",-0.6518449,0.335,-1.945,0.07
"m8","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.05477305,0.165,-0.332,0.744
"m8","adj_raw_pink_log:as.factor(odd_even_factor)odd",-0.21762959,0.132,-1.654,0.118
"m9","(Intercept)",3.34683511,1.417,2.362,0.031
"m9","as.factor(vessel)Medeia",2.66812611,1.56,1.71,0.107
"m9","as.factor(vessel)NW Explorer",-0.24599865,0.975,-0.252,0.804
"m9","adj_raw_pink_log",0.4744978,0.177,2.681,0.016
"m9","as.factor(odd_even_factor)odd",1.44705124,0.749,1.932,0.071
"m9","Icy_Strait_SST_AMJ",-0.34740349,0.158,-2.199,0.043
"m9","as.factor(vessel)Medeia:adj_raw_pink_log",-0.61466722,0.33,-1.862,0.081
"m9","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.04481882,0.161,-0.279,0.784
"m9","adj_raw_pink_log:as.factor(odd_even_factor)odd",-0.17890311,0.128,-1.4,0.181
"m10","(Intercept)",3.51008361,1.522,2.307,0.035
"m10","as.factor(vessel)Medeia",2.77761009,1.571,1.768,0.096
"m10","as.factor(vessel)NW Explorer",-0.15986749,0.99,-0.162,0.874
"m10","adj_raw_pink_log",0.50567768,0.181,2.796,0.013
"m10","as.factor(odd_even_factor)odd",1.54581259,0.757,2.041,0.058
"m10","Icy_Strait_SST_AMJJ",-0.32942108,0.157,-2.099,0.052
"m10","as.factor(vessel)Medeia:adj_raw_pink_log",-0.63716247,0.332,-1.919,0.073
"m10","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.06989356,0.163,-0.428,0.675
"m10","adj_raw_pink_log:as.factor(odd_even_factor)odd",-0.20111453,0.129,-1.556,0.139
"m11","(Intercept)",2.87305704,1.259,2.283,0.036
"m11","as.factor(vessel)Medeia",2.87888473,1.547,1.86,0.081
"m11","as.factor(vessel)NW Explorer",-0.14464994,0.978,-0.148,0.884
"m11","adj_raw_pink_log",0.46140199,0.176,2.618,0.019
"m11","as.factor(odd_even_factor)odd",1.41283794,0.748,1.889,0.077
"m11","NSEAK_SST_May",-0.2751556,0.124,-2.214,0.042
"m11","as.factor(vessel)Medeia:adj_raw_pink_log",-0.65199575,0.327,-1.996,0.063
"m11","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.05522414,0.161,-0.343,0.736
"m11","adj_raw_pink_log:as.factor(odd_even_factor)odd",-0.17343285,0.128,-1.358,0.193
"m12","(Intercept)",3.82062654,1.658,2.305,0.035
"m12","as.factor(vessel)Medeia",3.03704963,1.567,1.938,0.071
"m12","as.factor(vessel)NW Explorer",-0.080368,0.999,-0.08,0.937
"m12","adj_raw_pink_log",0.50823938,0.182,2.797,0.013
"m12","as.factor(odd_even_factor)odd",1.60067165,0.761,2.102,0.052
"m12","NSEAK_SST_MJJ",-0.32694404,0.158,-2.068,0.055
"m12","as.factor(vessel)Medeia:adj_raw_pink_log",-0.67103758,0.331,-2.029,0.059
"m12","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.07546801,0.164,-0.459,0.652
"m12","adj_raw_pink_log:as.factor(odd_even_factor)odd",-0.21359237,0.13,-1.641,0.12
"m13","(Intercept)",3.44710025,1.406,2.452,0.026
"m13","as.factor(vessel)Medeia",2.76809055,1.536,1.802,0.09
"m13","as.factor(vessel)NW Explorer",-0.03696644,0.975,-0.038,0.97
"m13","adj_raw_pink_log",0.48872425,0.176,2.784,0.013
"m13","as.factor(odd_even_factor)odd",1.43307812,0.74,1.935,0.071
"m13","NSEAK_SST_AMJ",-0.36699116,0.159,-2.306,0.035
"m13","as.factor(vessel)Medeia:adj_raw_pink_log",-0.61704715,0.326,-1.895,0.076
"m13","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.07319456,0.16,-0.458,0.653
"m13","adj_raw_pink_log:as.factor(odd_even_factor)odd",-0.18272581,0.126,-1.447,0.167
"m14","(Intercept)",3.76327625,1.587,2.372,0.031
"m14","as.factor(vessel)Medeia",2.93296943,1.555,1.886,0.078
"m14","as.factor(vessel)NW Explorer",-0.01832345,0.994,-0.018,0.986
"m14","adj_raw_pink_log",0.50638709,0.18,2.817,0.012
"m14","as.factor(odd_even_factor)odd",1.48392197,0.752,1.973,0.066
"m14","NSEAK_SST_AMJJ",-0.36383564,0.169,-2.155,0.047
"m14","as.factor(vessel)Medeia:adj_raw_pink_log",-0.64779093,0.329,-1.969,0.067
"m14","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.08652782,0.164,-0.529,0.604
"m14","adj_raw_pink_log:as.factor(odd_even_factor)odd",-0.19357019,0.128,-1.508,0.151
"m15","(Intercept)",2.86976384,1.251,2.294,0.036
"m15","as.factor(vessel)Medeia",3.09763924,1.54,2.012,0.061
"m15","as.factor(vessel)NW Explorer",-0.10156325,0.979,-0.104,0.919
"m15","adj_raw_pink_log",0.48781995,0.177,2.757,0.014
"m15","as.factor(odd_even_factor)odd",1.49797275,0.746,2.008,0.062
"m15","SEAK_SST_May",-0.27142884,0.121,-2.235,0.04
"m15","as.factor(vessel)Medeia:adj_raw_pink_log",-0.69473833,0.324,-2.147,0.048
"m15","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.06306658,0.161,-0.392,0.7
"m15","adj_raw_pink_log:as.factor(odd_even_factor)odd",-0.19205022,0.127,-1.509,0.151
"m16","(Intercept)",3.86129425,1.615,2.39,0.029
"m16","as.factor(vessel)Medeia",3.24859039,1.551,2.094,0.052
"m16","as.factor(vessel)NW Explorer",-0.05581701,0.989,-0.056,0.956
"m16","adj_raw_pink_log",0.51615475,0.18,2.863,0.011
"m16","as.factor(odd_even_factor)odd",1.59903943,0.753,2.123,0.05
"m16","SEAK_SST_MJJ",-0.32045896,0.148,-2.17,0.045
"m16","as.factor(vessel)Medeia:adj_raw_pink_log",-0.70734636,0.325,-2.173,0.045
"m16","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.07583516,0.163,-0.467,0.647
"m16","adj_raw_pink_log:as.factor(odd_even_factor)odd",-0.2164291,0.129,-1.679,0.113
"m17","(Intercept)",3.45206985,1.391,2.482,0.025
"m17","as.factor(vessel)Medeia",2.94901459,1.523,1.936,0.071
"m17","as.factor(vessel)NW Explorer",0.01457711,0.974,0.015,0.988
"m17","adj_raw_pink_log",0.51263561,0.176,2.908,0.01
"m17","as.factor(odd_even_factor)odd",1.50450535,0.737,2.041,0.058
"m17","SEAK_SST_AMJ",-0.35702426,0.152,-2.346,0.032
"m17","as.factor(vessel)Medeia:adj_raw_pink_log",-0.6505188,0.322,-2.022,0.06
"m17","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.0829395,0.16,-0.519,0.611
"m17","adj_raw_pink_log:as.factor(odd_even_factor)odd",-0.19804265,0.126,-1.574,0.135
"m18","(Intercept)",3.82413075,1.562,2.448,0.026
"m18","as.factor(vessel)Medeia",3.11229353,1.538,2.024,0.06
"m18","as.factor(vessel)NW Explorer",0.01494358,0.986,0.015,0.988
"m18","adj_raw_pink_log",0.51780397,0.179,2.896,0.011
"m18","as.factor(odd_even_factor)odd",1.51608891,0.745,2.034,0.059
"m18","SEAK_SST_AMJJ",-0.35725518,0.159,-2.245,0.039
"m18","as.factor(vessel)Medeia:adj_raw_pink_log",-0.67784366,0.324,-2.092,0.053
"m18","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.08851297,0.162,-0.546,0.592
"m18","adj_raw_pink_log:as.factor(odd_even_factor)odd",-0.20140439,0.127,-1.582,0.133
"m19","(Intercept)",2.15666911,0.655,3.293,0.004
"m19","as.factor(vessel)Cobb:adj_raw_pink_log",0.21252102,0.13,1.631,0.119
"m19","as.factor(vessel)Medeia:adj_raw_pink_log",0.17085003,0.168,1.02,0.32
"m19","as.factor(vessel)NW Explorer:adj_raw_pink_log",0.12839264,0.109,1.175,0.254
"m19","adj_raw_pink_log:as.factor(odd_even_factor)odd",0.09262501,0.041,2.275,0.034
"m20","(Intercept)",5.62645622,1.56,3.608,0.002
"m20","ISTI20_MJJ",-0.45255363,0.188,-2.402,0.027
"m20","as.factor(vessel)Cobb:adj_raw_pink_log",0.33938128,0.128,2.643,0.016
"m20","as.factor(vessel)Medeia:adj_raw_pink_log",0.33621848,0.166,2.031,0.057
"m20","as.factor(vessel)NW Explorer:adj_raw_pink_log",0.24013295,0.109,2.211,0.04
"m20","adj_raw_pink_log:as.factor(odd_even_factor)odd",0.06087553,0.039,1.565,0.134
"m21","(Intercept)",4.39666767,1.16,3.791,0.001
"m21","Chatham_SST_May",-0.32589924,0.145,-2.253,0.036
"m21","as.factor(vessel)Cobb:adj_raw_pink_log",0.24253011,0.119,2.03,0.057
"m21","as.factor(vessel)Medeia:adj_raw_pink_log",0.23390251,0.155,1.506,0.148
"m21","as.factor(vessel)NW Explorer:adj_raw_pink_log",0.17397781,0.102,1.712,0.103
"m21","adj_raw_pink_log:as.factor(odd_even_factor)odd",0.08943683,0.037,2.408,0.026
"m22","(Intercept)",5.09463856,1.8,2.83,0.011
"m22","Chatham_SST_MJJ",-0.32077131,0.184,-1.74,0.098
"m22","as.factor(vessel)Cobb:adj_raw_pink_log",0.24911613,0.126,1.978,0.063
"m22","as.factor(vessel)Medeia:adj_raw_pink_log",0.24272667,0.165,1.472,0.158
"m22","as.factor(vessel)NW Explorer:adj_raw_pink_log",0.16694851,0.106,1.569,0.133
"m22","adj_raw_pink_log:as.factor(odd_even_factor)odd",0.08446589,0.039,2.161,0.044
"m23","(Intercept)",5.10905602,1.332,3.836,0.001
"m23","Chatham_SST_AMJ",-0.42776224,0.173,-2.467,0.023
"m23","as.factor(vessel)Cobb:adj_raw_pink_log",0.26767714,0.118,2.26,0.036
"m23","as.factor(vessel)Medeia:adj_raw_pink_log",0.26318635,0.154,1.706,0.104
"m23","as.factor(vessel)NW Explorer:adj_raw_pink_log",0.19529326,0.101,1.929,0.069
"m23","adj_raw_pink_log:as.factor(odd_even_factor)odd",0.08008876,0.037,2.182,0.042
"m24","(Intercept)",5.38852316,1.616,3.335,0.003
"m24","Chatham_SST_AMJJ",-0.40434733,0.188,-2.156,0.044
"m24","as.factor(vessel)Cobb:adj_raw_pink_log",0.26581073,0.122,2.173,0.043
"m24","as.factor(vessel)Medeia:adj_raw_pink_log",0.26419851,0.16,1.65,0.115
"m24","as.factor(vessel)NW Explorer:adj_raw_pink_log",0.18345935,0.104,1.77,0.093
"m24","adj_raw_pink_log:as.factor(odd_even_factor)odd",0.0807539,0.038,2.134,0.046
"m25","(Intercept)",4.15972615,1.095,3.801,0.001
"m25","Icy_Strait_SST_May",-0.31147528,0.142,-2.189,0.041
"m25","as.factor(vessel)Cobb:adj_raw_pink_log",0.2417854,0.12,2.011,0.059
"m25","as.factor(vessel)Medeia:adj_raw_pink_log",0.23242267,0.156,1.488,0.153
"m25","as.factor(vessel)NW Explorer:adj_raw_pink_log",0.17383033,0.102,1.7,0.106
"m25","adj_raw_pink_log:as.factor(odd_even_factor)odd",0.09535056,0.037,2.553,0.019
"m26","(Intercept)",4.87980838,1.599,3.051,0.007
"m26","Icy_Strait_SST_MJJ",-0.29695199,0.161,-1.846,0.08
"m26","as.factor(vessel)Cobb:adj_raw_pink_log",0.25898976,0.126,2.061,0.053
"m26","as.factor(vessel)Medeia:adj_raw_pink_log",0.24957597,0.164,1.522,0.144
"m26","as.factor(vessel)NW Explorer:adj_raw_pink_log",0.17319378,0.106,1.634,0.119
"m26","adj_raw_pink_log:as.factor(odd_even_factor)odd",0.08532796,0.039,2.207,0.04
"m27","(Intercept)",4.88269691,1.286,3.798,0.001
"m27","Icy_Strait_SST_AMJ",-0.4109228,0.172,-2.386,0.028
"m27","as.factor(vessel)Cobb:adj_raw_pink_log",0.26396415,0.119,2.214,0.039
"m27","as.factor(vessel)Medeia:adj_raw_pink_log",0.26284349,0.156,1.688,0.108
"m27","as.factor(vessel)NW Explorer:adj_raw_pink_log",0.19126041,0.102,1.879,0.076
"m27","adj_raw_pink_log:as.factor(odd_even_factor)odd",0.08920433,0.037,2.432,0.025
"m28","(Intercept)",5.03955741,1.479,3.408,0.003
"m28","Icy_Strait_SST_AMJJ",-0.3678838,0.172,-2.135,0.046
"m28","as.factor(vessel)Cobb:adj_raw_pink_log",0.27268042,0.123,2.211,0.039
"m28","as.factor(vessel)Medeia:adj_raw_pink_log",0.26948372,0.161,1.672,0.111
"m28","as.factor(vessel)NW Explorer:adj_raw_pink_log",0.18614562,0.104,1.786,0.09
"m28","adj_raw_pink_log:as.factor(odd_even_factor)odd",0.08403678,0.038,2.227,0.038
"m29","(Intercept)",4.38067102,1.125,3.894,0.001
"m29","NSEAK_SST_May",-0.31837358,0.137,-2.326,0.031
"m29","as.factor(vessel)Cobb:adj_raw_pink_log",0.2283448,0.118,1.933,0.068
"m29","as.factor(vessel)Medeia:adj_raw_pink_log",0.23143327,0.154,1.504,0.149
"m29","as.factor(vessel)NW Explorer:adj_raw_pink_log",0.16372149,0.1,1.637,0.118
"m29","adj_raw_pink_log:as.factor(odd_even_factor)odd",0.09173032,0.037,2.489,0.022
"m30","(Intercept)",5.22224454,1.748,2.988,0.008
"m30","NSEAK_SST_MJJ",-0.33185154,0.177,-1.875,0.076
"m30","as.factor(vessel)Cobb:adj_raw_pink_log",0.24544203,0.124,1.979,0.063
"m30","as.factor(vessel)Medeia:adj_raw_pink_log",0.25959189,0.165,1.574,0.132
"m30","as.factor(vessel)NW Explorer:adj_raw_pink_log",0.16750159,0.105,1.595,0.127
"m30","adj_raw_pink_log:as.factor(odd_even_factor)odd",0.08421781,0.039,2.18,0.042
"m31","(Intercept)",5.10019135,1.321,3.861,0.001
"m31","NSEAK_SST_AMJ",-0.42607565,0.172,-2.484,0.022
"m31","as.factor(vessel)Cobb:adj_raw_pink_log",0.2530825,0.117,2.158,0.044
"m31","as.factor(vessel)Medeia:adj_raw_pink_log",0.26577884,0.154,1.724,0.101
"m31","as.factor(vessel)NW Explorer:adj_raw_pink_log",0.18569664,0.1,1.856,0.079
"m31","adj_raw_pink_log:as.factor(odd_even_factor)odd",0.08323123,0.036,2.281,0.034
"m32","(Intercept)",5.41037815,1.599,3.383,0.003
"m32","NSEAK_SST_AMJJ",-0.40506366,0.185,-2.195,0.041
"m32","as.factor(vessel)Cobb:adj_raw_pink_log",0.25595449,0.121,2.115,0.048
"m32","as.factor(vessel)Medeia:adj_raw_pink_log",0.27208176,0.16,1.697,0.106
"m32","as.factor(vessel)NW Explorer:adj_raw_pink_log",0.17718923,0.103,1.728,0.1
"m32","adj_raw_pink_log:as.factor(odd_even_factor)odd",0.08291706,0.038,2.207,0.04
"m33","(Intercept)",4.30020179,1.195,3.6,0.002
"m33","SEAK_SST_May",-0.28658191,0.138,-2.082,0.051
"m33","as.factor(vessel)Cobb:adj_raw_pink_log",0.23260203,0.121,1.922,0.07
"m33","as.factor(vessel)Medeia:adj_raw_pink_log",0.23656958,0.158,1.494,0.152
"m33","as.factor(vessel)NW Explorer:adj_raw_pink_log",0.16603567,0.103,1.616,0.123
"m33","adj_raw_pink_log:as.factor(odd_even_factor)odd",0.08951622,0.038,2.373,0.028
"m34","(Intercept)",5.13271581,1.761,2.915,0.009
"m34","SEAK_SST_MJJ",-0.30521495,0.169,-1.806,0.087
"m34","as.factor(vessel)Cobb:adj_raw_pink_log",0.23924641,0.124,1.924,0.07
"m34","as.factor(vessel)Medeia:adj_raw_pink_log",0.2580423,0.166,1.554,0.137
"m34","as.factor(vessel)NW Explorer:adj_raw_pink_log",0.16579577,0.106,1.57,0.133
"m34","adj_raw_pink_log:as.factor(odd_even_factor)odd",0.08403162,0.039,2.161,0.044
"m35","(Intercept)",5.02424024,1.378,3.647,0.002
"m35","SEAK_SST_AMJ",-0.38759857,0.168,-2.306,0.033
"m35","as.factor(vessel)Cobb:adj_raw_pink_log",0.25582578,0.12,2.138,0.046
"m35","as.factor(vessel)Medeia:adj_raw_pink_log",0.27060399,0.158,1.713,0.103
"m35","as.factor(vessel)NW Explorer:adj_raw_pink_log",0.18626626,0.102,1.823,0.084
"m35","adj_raw_pink_log:as.factor(odd_even_factor)odd",0.08214388,0.037,2.208,0.04
"m36","(Intercept)",5.35247842,1.64,3.265,0.004
"m36","SEAK_SST_AMJJ",-0.37335196,0.178,-2.097,0.05
"m36","as.factor(vessel)Cobb:adj_raw_pink_log",0.2504221,0.122,2.056,0.054
"m36","as.factor(vessel)Medeia:adj_raw_pink_log",0.27149485,0.162,1.674,0.111
"m36","as.factor(vessel)NW Explorer:adj_raw_pink_log",0.17580169,0.103,1.699,0.106
"m36","adj_raw_pink_log:as.factor(odd_even_factor)odd",0.08294293,0.038,2.187,0.041
