"Model","Term","Estimate","Standard Error","Statistic","p value"
"m5","as.factor(odd_even_factor)odd",-0.39134816,0.222,-1.764,0.096
"m5","Chatham_SST_AMJ",-0.36783818,0.163,-2.251,0.038
"m5","as.factor(vessel)Medeia:adj_raw_pink_log",-0.58316481,0.333,-1.753,0.098
"m5","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.09544571,0.162,-0.589,0.564
"m6","(Intercept)",4.62862064,1.709,2.709,0.015
"m6","as.factor(vessel)Medeia",2.7713713,1.612,1.719,0.104
"m6","as.factor(vessel)NW Explorer",0.07876313,1.011,0.078,0.939
"m6","adj_raw_pink_log",0.40111541,0.173,2.32,0.033
"m6","as.factor(odd_even_factor)odd",-0.38655812,0.227,-1.701,0.107
"m6","Chatham_SST_AMJJ",-0.35469094,0.175,-2.024,0.059
"m6","as.factor(vessel)Medeia:adj_raw_pink_log",-0.61336184,0.339,-1.811,0.088
"m6","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.10990828,0.167,-0.66,0.518
"m7","(Intercept)",3.71573805,1.339,2.775,0.013
"m7","as.factor(vessel)Medeia",2.75486487,1.592,1.73,0.102
"m7","as.factor(vessel)NW Explorer",-0.11755269,0.99,-0.119,0.907
"m7","adj_raw_pink_log",0.37176254,0.169,2.202,0.042
"m7","as.factor(odd_even_factor)odd",-0.45130765,0.224,-2.019,0.06
"m7","Icy_Strait_SST_May",-0.27924493,0.13,-2.154,0.046
"m7","as.factor(vessel)Medeia:adj_raw_pink_log",-0.62240147,0.334,-1.866,0.079
"m7","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.06646359,0.163,-0.407,0.689
"m8","(Intercept)",4.25541559,1.749,2.433,0.026
"m8","as.factor(vessel)Medeia",2.67708618,1.665,1.608,0.126
"m8","as.factor(vessel)NW Explorer",-0.01238178,1.036,-0.012,0.991
"m8","adj_raw_pink_log",0.38161343,0.177,2.158,0.046
"m8","as.factor(odd_even_factor)odd",-0.42652512,0.233,-1.832,0.084
"m8","Icy_Strait_SST_MJJ",-0.2565932,0.15,-1.711,0.105
"m8","as.factor(vessel)Medeia:adj_raw_pink_log",-0.60455093,0.35,-1.726,0.102
"m8","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.09737807,0.171,-0.57,0.576
"m9","(Intercept)",4.28461274,1.507,2.844,0.011
"m9","as.factor(vessel)Medeia",2.51577856,1.599,1.573,0.134
"m9","as.factor(vessel)NW Explorer",-0.03289745,0.989,-0.033,0.974
"m9","adj_raw_pink_log",0.38240252,0.169,2.265,0.037
"m9","as.factor(odd_even_factor)odd",-0.44414592,0.223,-1.993,0.063
"m9","Icy_Strait_SST_AMJ",-0.35323379,0.162,-2.18,0.044
"m9","as.factor(vessel)Medeia:adj_raw_pink_log",-0.56276725,0.337,-1.67,0.113
"m9","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.08204224,0.163,-0.503,0.621
"m10","(Intercept)",4.33127381,1.642,2.638,0.017
"m10","as.factor(vessel)Medeia",2.63454491,1.632,1.614,0.125
"m10","as.factor(vessel)NW Explorer",0.06540845,1.019,0.064,0.95
"m10","adj_raw_pink_log",0.3995144,0.174,2.292,0.035
"m10","as.factor(odd_even_factor)odd",-0.41800407,0.228,-1.832,0.085
"m10","Icy_Strait_SST_AMJJ",-0.31577607,0.163,-1.938,0.069
"m10","as.factor(vessel)Medeia:adj_raw_pink_log",-0.58735808,0.344,-1.708,0.106
"m10","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.10996932,0.168,-0.654,0.522
"m11","(Intercept)",3.80473912,1.341,2.836,0.011
"m11","as.factor(vessel)Medeia",2.73137741,1.581,1.727,0.102
"m11","as.factor(vessel)NW Explorer",0.06396913,0.989,0.065,0.949
"m11","adj_raw_pink_log",0.37223968,0.168,2.221,0.04
"m11","as.factor(odd_even_factor)odd",-0.43966056,0.222,-1.982,0.064
"m11","NSEAK_SST_May",-0.28279349,0.127,-2.225,0.04
"m11","as.factor(vessel)Medeia:adj_raw_pink_log",-0.60127431,0.332,-1.809,0.088
"m11","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.09130285,0.162,-0.562,0.581
"m12","(Intercept)",4.53732242,1.797,2.525,0.022
"m12","as.factor(vessel)Medeia",2.87614861,1.64,1.754,0.097
"m12","as.factor(vessel)NW Explorer",0.13866371,1.037,0.134,0.895
"m12","adj_raw_pink_log",0.39289728,0.176,2.235,0.039
"m12","as.factor(odd_even_factor)odd",-0.40433933,0.231,-1.751,0.098
"m12","NSEAK_SST_MJJ",-0.30059446,0.165,-1.825,0.086
"m12","as.factor(vessel)Medeia:adj_raw_pink_log",-0.61974967,0.345,-1.796,0.09
"m12","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.11524744,0.17,-0.677,0.508
"m13","(Intercept)",4.34675103,1.489,2.92,0.01
"m13","as.factor(vessel)Medeia",2.62140349,1.578,1.661,0.115
"m13","as.factor(vessel)NW Explorer",0.18744109,0.992,0.189,0.852
"m13","adj_raw_pink_log",0.3953863,0.168,2.354,0.031
"m13","as.factor(odd_even_factor)odd",-0.40739104,0.221,-1.843,0.083
"m13","NSEAK_SST_AMJ",-0.37180342,0.164,-2.27,0.036
"m13","as.factor(vessel)Medeia:adj_raw_pink_log",-0.56551595,0.333,-1.697,0.108
"m13","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.11229789,0.162,-0.691,0.499
"m14","(Intercept)",4.59315009,1.69,2.718,0.015
"m14","as.factor(vessel)Medeia",2.78225367,1.611,1.727,0.102
"m14","as.factor(vessel)NW Explorer",0.20416572,1.021,0.2,0.844
"m14","adj_raw_pink_log",0.40510781,0.173,2.341,0.032
"m14","as.factor(odd_even_factor)odd",-0.39864083,0.227,-1.759,0.097
"m14","NSEAK_SST_AMJJ",-0.35612743,0.175,-2.033,0.058
"m14","as.factor(vessel)Medeia:adj_raw_pink_log",-0.5966659,0.34,-1.757,0.097
"m14","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.1259033,0.168,-0.751,0.463
"m15","(Intercept)",3.74553742,1.36,2.754,0.014
"m15","as.factor(vessel)Medeia",2.94399797,1.594,1.846,0.082
"m15","as.factor(vessel)NW Explorer",0.11846932,1.004,0.118,0.907
"m15","adj_raw_pink_log",0.38773039,0.17,2.277,0.036
"m15","as.factor(odd_even_factor)odd",-0.42147291,0.224,-1.88,0.077
"m15","SEAK_SST_May",-0.26676475,0.126,-2.117,0.049
"m15","as.factor(vessel)Medeia:adj_raw_pink_log",-0.6427508,0.334,-1.925,0.071
"m15","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.10226929,0.165,-0.621,0.543
"m16","(Intercept)",4.5605177,1.752,2.602,0.019
"m16","as.factor(vessel)Medeia",3.0682603,1.627,1.886,0.077
"m16","as.factor(vessel)NW Explorer",0.16677004,1.031,0.162,0.873
"m16","adj_raw_pink_log",0.39927824,0.175,2.283,0.036
"m16","as.factor(odd_even_factor)odd",-0.38892927,0.23,-1.693,0.109
"m16","SEAK_SST_MJJ",-0.29436762,0.154,-1.907,0.074
"m16","as.factor(vessel)Medeia:adj_raw_pink_log",-0.65238693,0.341,-1.916,0.072
"m16","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.11663678,0.169,-0.69,0.499
"m17","(Intercept)",4.28580205,1.502,2.853,0.011
"m17","as.factor(vessel)Medeia",2.79607819,1.585,1.764,0.096
"m17","as.factor(vessel)NW Explorer",0.23590923,1.005,0.235,0.817
"m17","adj_raw_pink_log",0.40840923,0.17,2.398,0.028
"m17","as.factor(odd_even_factor)odd",-0.39421848,0.223,-1.767,0.095
"m17","SEAK_SST_AMJ",-0.34789991,0.159,-2.192,0.043
"m17","as.factor(vessel)Medeia:adj_raw_pink_log",-0.59860663,0.334,-1.794,0.091
"m17","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.12247899,0.164,-0.745,0.467
"m18","(Intercept)",4.61501832,1.673,2.758,0.013
"m18","as.factor(vessel)Medeia",2.95117977,1.601,1.844,0.083
"m18","as.factor(vessel)NW Explorer",0.23454429,1.018,0.23,0.821
"m18","adj_raw_pink_log",0.41121802,0.173,2.381,0.029
"m18","as.factor(odd_even_factor)odd",-0.38804447,0.226,-1.717,0.104
"m18","SEAK_SST_AMJJ",-0.3439203,0.166,-2.077,0.053
"m18","as.factor(vessel)Medeia:adj_raw_pink_log",-0.62508083,0.336,-1.86,0.08
"m18","as.factor(vessel)NW Explorer:adj_raw_pink_log",-0.12805341,0.167,-0.767,0.454
