"Model","Term","Estimate","Standard Error","Statistic","p value"
"m21a","CPUE:as.factor(odd_even_factor)odd",0.43206507,0.057,7.547,0
"m22a","(Intercept)",6.17373052,1.363,4.53,0
"m22a","Chatham_SST_MJJ",-0.37130678,0.14,-2.655,0.014
"m22a","CPUE:as.factor(odd_even_factor)even",0.33017225,0.109,3.024,0.006
"m22a","CPUE:as.factor(odd_even_factor)odd",0.3965296,0.064,6.191,0
"m23a","(Intercept)",6.38500792,0.962,6.636,0
"m23a","Chatham_SST_AMJ",-0.51305423,0.128,-4.007,0.001
"m23a","CPUE:as.factor(odd_even_factor)even",0.36142246,0.096,3.746,0.001
"m23a","CPUE:as.factor(odd_even_factor)odd",0.42617642,0.057,7.457,0
"m24a","(Intercept)",6.51526947,1.213,5.37,0
"m24a","Chatham_SST_AMJJ",-0.46055086,0.141,-3.272,0.003
"m24a","CPUE:as.factor(odd_even_factor)even",0.34351034,0.103,3.323,0.003
"m24a","CPUE:as.factor(odd_even_factor)odd",0.40859241,0.061,6.715,0
"m25a","(Intercept)",5.37371047,0.754,7.124,0
"m25a","Icy_Strait_SST_May",-0.4090463,0.108,-3.794,0.001
"m25a","CPUE:as.factor(odd_even_factor)even",0.35885441,0.099,3.64,0.001
"m25a","CPUE:as.factor(odd_even_factor)odd",0.4429789,0.06,7.426,0
"m26a","(Intercept)",5.87835014,1.261,4.66,0
"m26a","Icy_Strait_SST_MJJ",-0.33534837,0.127,-2.637,0.015
"m26a","CPUE:as.factor(odd_even_factor)even",0.33657687,0.11,3.068,0.005
"m26a","CPUE:as.factor(odd_even_factor)odd",0.40514264,0.065,6.269,0
"m27a","(Intercept)",6.03855317,0.96,6.292,0
"m27a","Icy_Strait_SST_AMJ",-0.48037299,0.131,-3.655,0.001
"m27a","CPUE:as.factor(odd_even_factor)even",0.34827277,0.1,3.497,0.002
"m27a","CPUE:as.factor(odd_even_factor)odd",0.43241145,0.06,7.229,0
"m28a","(Intercept)",6.10446469,1.155,5.284,0
"m28a","Icy_Strait_SST_AMJJ",-0.41369255,0.134,-3.081,0.005
"m28a","CPUE:as.factor(odd_even_factor)even",0.34479977,0.105,3.269,0.003
"m28a","CPUE:as.factor(odd_even_factor)odd",0.41642727,0.063,6.66,0
"m29a","(Intercept)",5.42130461,0.761,7.127,0
"m29a","NSEAK_SST_May",-0.38583673,0.101,-3.824,0.001
"m29a","CPUE:as.factor(odd_even_factor)even",0.31700126,0.097,3.27,0.003
"m29a","CPUE:as.factor(odd_even_factor)odd",0.40650463,0.057,7.085,0
"m30a","(Intercept)",5.8429396,1.275,4.583,0
"m30a","NSEAK_SST_MJJ",-0.32897327,0.127,-2.58,0.017
"m30a","CPUE:as.factor(odd_even_factor)even",0.29731106,0.109,2.729,0.012
"m30a","CPUE:as.factor(odd_even_factor)odd",0.37755858,0.064,5.898,0
"m31a","(Intercept)",6.05816816,0.952,6.365,0
"m31a","NSEAK_SST_AMJ",-0.46530087,0.126,-3.707,0.001
"m31a","CPUE:as.factor(odd_even_factor)even",0.31423332,0.098,3.205,0.004
"m31a","CPUE:as.factor(odd_even_factor)odd",0.39976262,0.058,6.909,0
"m32a","(Intercept)",6.12982325,1.177,5.207,0
"m32a","NSEAK_SST_AMJJ",-0.4096095,0.135,-3.044,0.006
"m32a","CPUE:as.factor(odd_even_factor)even",0.30503948,0.105,2.918,0.008
"m32a","CPUE:as.factor(odd_even_factor)odd",0.38727738,0.061,6.3,0
"m33a","(Intercept)",5.41261607,0.82,6.603,0
"m33a","SEAK_SST_May",-0.35531986,0.101,-3.529,0.002
"m33a","CPUE:as.factor(odd_even_factor)even",0.313997,0.1,3.145,0.005
"m33a","CPUE:as.factor(odd_even_factor)odd",0.40343472,0.059,6.832,0
"m34a","(Intercept)",5.70563461,1.272,4.487,0
"m34a","SEAK_SST_MJJ",-0.29738176,0.12,-2.478,0.021
"m34a","CPUE:as.factor(odd_even_factor)even",0.28321115,0.11,2.576,0.017
"m34a","CPUE:as.factor(odd_even_factor)odd",0.36935175,0.065,5.714,0
"m35a","(Intercept)",5.9835672,1.002,5.974,0
"m35a","SEAK_SST_AMJ",-0.42146653,0.122,-3.444,0.002
"m35a","CPUE:as.factor(odd_even_factor)even",0.30778519,0.101,3.06,0.006
"m35a","CPUE:as.factor(odd_even_factor)odd",0.39546158,0.059,6.668,0
"m36a","(Intercept)",5.98528242,1.196,5.005,0
"m36a","SEAK_SST_AMJJ",-0.36718001,0.128,-2.875,0.009
"m36a","CPUE:as.factor(odd_even_factor)even",0.28993191,0.106,2.732,0.012
"m36a","CPUE:as.factor(odd_even_factor)odd",0.37891199,0.062,6.077,0
