year,data,NSE_inside,NSE_outside,SSE,total,,
2004,escapement,5212377,2187600,8255940,15655917,,
2005,escapement,6681555,3835196,9395679,19912430,,
2006,escapement,3956791,1958000,4327559,10242350,,
2007,escapement,4741829,2306000,10591372,17639201,,
2008,escapement,1472845,1730239,6294369,9497453,,
2009,escapement,3651909,1817080,7201768,12670757,,
2010,escapement,3209633,2009500,5942771,11161904,,
2011,escapement,6026603,2734185,5497705,14258493,,
2012,escapement,2110456,2469679,6469360,11049495,,
2013,escapement,5399194,5337000,14447826,25184020,,
2014,escapement,1380103,2746000,9645577,13771680,,
2015,escapement,5254793,2840000,4295655,12390448,,
2016,escapement,1782067,1700237,6599108,10081412,,
2017,escapement,4654042,2840000,6388445,13882487,,
2018,escapement,1374740,1902500,4868337,8145577,,
1960,harvest,1234374,25195,1439666,2699235,,
1961,harvest,6675666,948824,3771200,11395690,,
1962,harvest,424435,64864,10740428,11229727,,
1963,harvest,12601389,1299712,5136144,19037245,,
1964,harvest,7206628,75646,11257947,18540221,,
1965,harvest,4545683,618554,5710458,10874695,,
1966,harvest,4758856,29101,15561555,20349512,,
1967,harvest,2308414,126857,641540,3076811,,
1968,harvest,9821918,59760,15193876,25075554,,
1969,harvest,3471523,137346,1199140,4808009,,
1970,harvest,5176532,67955,5370759,10615246,,
1971,harvest,2923266,91746,6259244,9274256,,
1972,harvest,3187714,49734,9152645,12390093,,
1973,harvest,1624533,258759,4558505,6441797,,
1974,harvest,601734,62221,4220805,4884760,,
1975,harvest,50933,565808,3332982,3949723,,
1976,harvest,38033,105641,5161936,5305610,,
1977,harvest,330103,2198176,11298253,13826532,,
1978,harvest,2619929,161987,18424978,21206894,,
1979,harvest,2020284,1812074,6989781,10822139,,
1980,harvest,1322635,109642,12924273,14356550,,
1981,harvest,2627473,2748168,13524934,18900575,,
1982,harvest,10768872,502612,12961072,24232556,,
1983,harvest,3501144,2556585,31461882,37519611,,
1984,harvest,3733277,1274806,19676515,24684598,,
1985,harvest,15590447,563105,30712155,46865707,,
1986,harvest,931285,212319,45019457,46163061,,
1987,harvest,5206285,428801,4631329,10266415,,
1988,harvest,1964105,66605,9054789,11085499,,
1989,harvest,12725119,910881,4576348,18212348,,
1990,harvest,5438631,187888,26683252,32309771,,
1991,harvest,18049335,374552,43497275,61921162,,
1992,harvest,15499994,432711,19009576,34942281,,
1993,harvest,17009607,1057305,39218951,57285863,,
1994,harvest,35205066,995836,21060265,57261167,,
1995,harvest,4840459,1754562,41315465,47910486,,
1996,harvest,9063248,1858221,53676323,64597792,,
1997,harvest,10824815,2757750,15298105,28880670,,
1998,harvest,12846432,5853552,23748765,42448749,,
1999,harvest,36317770,2643335,38857000,77818105,,
2000,harvest,5315004,2557196,12376777,20248977,,
2001,harvest,13008041,2004072,52011540,67023653,,
2002,harvest,18989224,3006916,23319261,45315401,,
2003,harvest,21297303,1891885,29277547,52466735,,
2004,harvest,22125523,2259965,20924256,45309744,,
2005,harvest,25236181,5021025,28864281,59121487,,
2006,harvest,5795700,2543618,3267182,11606500,,
2007,harvest,8746171,4273371,31776856,44796398,,
2008,harvest,432582,1838093,13638249,15908924,,
2009,harvest,10229169,1369884,26425304,38024357,,
2010,harvest,6542958,3796398,13695021,24034377,,
2011,harvest,40557510,7117571,11190373,58865454,,
2012,harvest,1110820,1574067,18586213,21271100,,
2013,harvest,30088905,11162060,53463206,94714171,,
2014,harvest,949841,3009327,33213584,37172752,,
2015,harvest,16082707,6541420,12468441,35092568,,
2016,harvest,462364,1641888,16274323,18378575,,
2017,harvest,16579982,8132994,9414546,34127522,,
2018,harvest,769028,1892244,5360075,8021347,,
